31.483,57.286
40.99,52.721
51.537,25.529
28.274,80.967
47.488,75.494
2.8603,70.834
13.878,82.103
11.884,33.306
51.1,48.856
93.891,98.101
35.668,94.499
94.22,15.252
30.462,99.465
22.491,62.701
10.881,8.2083
60.434,44.58
55.553,30.606
60.474,44.869
79.268,27.236
2.0924,23.882
98.873,95.68
8.6877,84.024
90.048,88.212
23.81,92.671
80.926,95.329
61.509,6.2521
27.921,90.778
65.091,86.857
88.688,1.1051
38.087,24.095
86.858,92.998
91.29,46.018
91.111,44.775
88.049,7.1533
21.597,50.291
1.4207,38.078
9.2013,34.915
71.936,0.65717
30.838,76.974
21.307,97.075
11.714,36.556
36.33,43.483
33.281,87.089
60.879,9.0617
1.0912,95.874
8.8534,52.387
55.498,32.772
96.815,49.101
76.444,70.915
34.855,19.094
91.8,56.248
94.703,61.768
33.232,15.208
25.261,95.258
44.869,20.994
74.019,87.637
9.7148,23.243
78.191,45.868
27.068,90.472
12.861,58.646
94.915,3.9817
81.869,27.739
12.651,25.137
73.112,21.486
23.911,67.613
11.163,55.332
23.079,20.279
81.744,98.611
19.699,2.8451
87.828,65.058
76.035,9.7227
87.532,38.276
2.6959,32.433
23.735,8.9585
41.012,27.071
41.155,89.783
23.758,67.703
87.596,49.82
8.9086,46.075
66.584,55.078
24.757,33.068
11.229,18.652
60.288,11.515
96.914,58.59
74.581,36.434
11.213,7.5328
17.565,33.06
32.35,59.412
8.6871,50.184
76.513,78.13
51.528,82.34
16.727,89.722
58.067,56.958
21.366,3.9997
15.562,95.749
59.925,89.939
29.151,15.234
48.478,66.617
20.076,5.7671
9.9033,86.807
30.64,56.83
20.27,31.096
84.697,10.337
69.81,5.3193
34.719,97.007
66.061,9.4182
38.438,65.59
54.465,37.082
14.027,55.848
66.315,84.939
47.009,79.604
43.848,72.325
77.934,57.125
10.926,38.513
69.475,87.719
6.0601,74.655
58.173,6.7616
37.417,4.1245
35.91,85.165
71.743,58.698
69.79,66.101
79.496,58.798
58.494,25.762
45.504,68.049
18.888,89.525
16.563,38.113
87.743,31.434
42.795,15.775
41.207,67.092
50.038,53.172
55.481,81.094
42.619,51.493
79.368,18.858
41.821,77.852
21.929,90.495
65.101,56.37
93.082,59.977
20.015,61.991
79.395,65.054
39.088,13.197
50.184,25.155
91.334,69.087
40.549,38.126
63.968,55.923
40.063,19.737
17.964,78.479
86.637,62.049
88.92,22.965
50.909,8.9151
22.834,98.187
92.746,64.713
20.073,72.561
67.162,61.478
47.032,97.631
84.251,25.071
2.5456,28.108
45.139,55.02
41.89,95.575
4.6928,25.183
92.597,53.82
96.323,58.284
23.661,48.368
37.233,48.145
65.951,29.156
30.584,18.16
93.143,23.275
18.792,48.835
71.24,66.451
10.381,4.2035
31.232,95.052
78.986,44.571
14.447,43.04
31.461,74.758
76.636,24.507
29.961,74.284
63.747,28.462
72.679,6.1385
71.053,61.276
66.499,37.855
34.448,81.876
74.739,5.0719
77.858,88.273
67.714,8.1084
18.507,83.628
30.505,69.67
31.398,60.334
99.826,51.372
78.579,24.78
70.046,70.422
83.418,54.672
36.565,88.159
82.969,13.456
76.668,86.882
64.725,98.089
3.0901,36.998
99.954,19.444
77.682,48.387
32.746,43.807
4.2785,15.959
46.198,92.35
